Program Number,Program Name,Budget Request Documentation Section Content
8701,Animal General Care,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides for the daily care of the Zoo's animals by planning, purchasing, preparing, and distributing the animals' daily meals; cleaning and maintaining animal exhibits; daily observation of animals' behavior and recording in daily logs; managing animal records permits; sharing animal behavior information with other zoos; and coordinating behavioral enrichment programs for the animals. In addition, staff participate in the Association of Zoos and Aquariums wildlife conservation programs, conduct research, and use the information to better manage the captive population."
8702,Animal Health Care,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides veterinary care and health care management for the Zoo's animal collection by performing diagnostic tests, preventative health care, and surgical procedures; maintains animal health records and manages the animal quarantine facility.  In addition, staff supports the Association of Zoos and Aquariums wildlife conservation programs by performing the quarantine procedures necessary to conduct animal transactions."
8703,Admissions,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program manages general admissions operations and reservations for programs and classes through onsite and online sales; facilitates the preferred parking program as well as guest relations._x000D_
"
8704,Grounds Maintenance,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides landscape maintenance and coordinates brush clearance removal and tree trimming."
8705,Custodial Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides custodial support._x000D_
"
8706,Public Relations and Marketing,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program manages the Zoo's public relations activities in accordance with a Memorandum of Understanding with Greater Los Angeles Zoo Association.  In addition, it coordinates all commercial filming and photography activities."
8707,Education,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides public and fee-based educational programming and classes that promote and deliver the mission and messages of the Zoo, provides for all Zoo graphics and signage, and manages audio visual services."
8708,"Planning, Development and Construction","Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides facility repair, maintenance, and construction services, as well as project management and design support._x000D_
"
8749,Technology Support,This program provides support for all information technology services.
8750,General Administration and Support,"This program provides leadership and management oversight and general administration support, including financial management and budget development, accounting, recruitment, and hiring."
8801,Museums and Educational,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides historic and education-based services through museum facilities and exhibits. It promotes awareness of City history, historical knowledge, and environmental and cultural stewardship as well as the conservation of marine life and the preservation of historical artifacts."
8802,Griffith Observatory,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides residents and visitors with observational, inspirational, and educational experiences through state-of-the-art planetarium shows, unique interactive exhibits, cutting-edge school programs, innovative public programs and events, and breathtaking vistas and historical architectures."
8807,Aquatics,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides recreation-based aquatic programs and activities at public swimming pools and open water facilities throughout the City, including lifeguard services and pool maintenance and operations."
8809,Building and Facilities Maintenance,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program provides construction and maintenance services to park buildings and facilities."
8810,Land Maintenance,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides general upkeep, cleanliness, and maintenance of park grounds and facilities, including public restrooms."
8811,Capital Projects and Planning,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides technical services to the Department including: property management, capital improvement administration, engineering, architectural, and environmental compliance. It also coordinates construction and maintenance projects and conducts long-range planning of park property and facilities."
8812,Expo Center,"Priority Outcome: Create a move livable and sustainable city_x000D_
This program provides recreational, educational, and cultural programs and services in and around South Los Angeles."
8813,"Partnerships, Grants, and Sponsorships","Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides enhanced and expanded recreational programs, environmental stewardship, and improvements to park facilities through partnerships with private entities, sponsorships, donations, and grants."
8820,Recreational Programming,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides recreational activities, cultural activities, sports program activities, youth and senior activities, and community events."
8821,Venice Beach,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides recreational programming and maintenance services at the Venice Beach Boardwalk, Venice Skate Park, Muscle Beach, the Venice Recreation Center, and basketball and tennis courts in the area."
8822,Utilities and Sanitation Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides water, electricity, and refuse collection services for park grounds and facilities (including public restrooms)."
8823,Public Safety,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program consists of Park Ranger services. Park Rangers support the Department's recreation and community service mission by providing law enforcement, public education, resource protection, and visitor services on park property."
8824,City Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides recreation programming, emergency preparedness services, and maintenance at facilities not owned by the Department."
8849,Information Technology,"This program provides administrative and professional services, as well as technical expertise, to align and deliver information technology resources to the Department."
8850,General Administration and Support,This program manages Department-wide activities including: policy formulation; administrative decision making; finance and administration; human resources; and public information functions.
9401,Sustainable Transportation,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program is renamed from ""Vehicles for Hire"" to ""Sustainable Transportation"" in 2016-17 and includes sustainable transportation programs which promote fuel efficiency and vehicle emission controls and create options to decrease dependency on fossil fuels, air pollution, and traffic congestion. In the short term, this program includes the following shared use mobility option services: Vehicles for Hire, Bikeshare, and Carshare."
9402,Transportation Planning and Land Use,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program develops long-range transportation plans that become part of the City's Community and Specific plans.  Community and Specific plans are then used as a blueprint to implement transportation projects and programs that are consistent with City policy. This program also provides traffic studies for both City Departments and private developers who seek permit approval from the Department of Transportation relative to the identification of traffic impacts and solutions required for traffic mitigation and CEQA clearance. The following services are provided: 1. Collection and administration of developer trip fees in specific plan areas to implement transportation improvements; 2. Development of long-range transportation plans to implement transportation projects citywide; 3. Case processing of traffic studies as part of a CEQA clearance purpose to identify project-related traffic impacts and recommend appropriate mitigation solutions for proposed development projects; 4. Issuance of B-permit sign-offs, driveway permits, building permit sign-offs, and condition clearance for proposed developments._x000D_
"
9403,Transportation Infrastructure and Project Delivery,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program is responsible for the implementation of grant funded capital transportation projects as well as providing coordination services with other City departments and outside agencies.  _x000D_
"
9404,"Parking Facilities, Meters, and Operations","Priority Outcome: Create a more livable and sustainable city  _x000D_
This program supports the operation and maintenance of City-owned parking lots, management of the City's on-street parking meters, and administration of the City's Permit Parking Service. This program also assists in the development of various mixed-use projects relative to City-owned parking lots in coordination with other City and governmental agencies and private developers. Lastly, this program includes meter security functions for parking meter coin collection and oversight of the coin counting for over 38,000 parking meters._x000D_
"
9405,Parking Enforcement Services,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program employs full-time Traffic Officers who enforce parking restrictions found in state and City codes. The Parking Enforcement Services program also provides traffic control services during peak periods at heavily congested intersections, during emergencies, and whenever signals fail._x000D_
"
9406,Parking Citation Processing Services,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program is responsible for processing all parking citations issued by the City of Los Angeles for stopped vehicles in violation of California and City codes. In addition, this program provides adjudication services for motorists who contest parking citations issued by the City of Los Angeles."
9407,Streets and Sign Management,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program includes the design and installation of traffic markings on repaved streets, installation and maintenance of traffic safety and street name signs, temporary sign postings, and the design and installation of pavement markings that includes lane striping, traffic markings on streets and curbs, and Citywide mark-out. This program also coordinates with the Bureau of Street Services to schedule work crews to install pavement and curb markings in conjunction with street resurfacings._x000D_
"
9408,District Offices,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program operates Department of Transportation District Offices at six locations. District Office staff are responsible for investigating the need for and authorizing the installation of traffic signals, stop signs, regulatory, guide, and warning signs, crosswalks, pavement markings, and parking regulations. District Office staff also attend meetings with other governmental agencies and public meetings that include Council Offices, homeowner associations, school staff, developers, and Chambers of Commerce to discuss traffic congestion and traffic safety on local streets and highways._x000D_
"
9409,Traffic Signals and Systems,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program is responsible for the design, construction, maintenance, and operation of the City's traffic signal system. The City's traffic signal system includes the Automated Traffic Surveillance and Control (ATSAC) system, which makes it possible for City staff to remotely control traffic signals from a single location. This program also provides the following services: 1. Signal repair and maintenance of existing traffic signals; 2. New signal construction; 3. ATSAC and Signal Operation Services; and 4. Installation of traffic signal loops._x000D_
"
9412,Public Transit Services,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program provides several public transit services, including Commuter Express; Community DASH; specialized transit for the elderly and mobility-impaired residents; and charter bus services. Commuter Express provides weekday peak-hour commuter services to and from suburban areas. Community DASH is a local, community-based shuttle bus that operates in several communities._x000D_
"
9413,Major Project Coordination,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program is responsible for the implementation of large public, joint-agency transportation projects. Program staff provides coordination, design review, and other services to assist in significant construction projects. Program staff also implements temporary traffic management measures to minimize the impact of major construction projects on transit, pedestrians, cyclists, and motorists._x000D_
"
9414,Emergency Management and Special Events,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program plans, coordinates, and implements traffic management plans for Special Events and Emergency Response citywide._x000D_
"
9415,Right-of-Way Franchise Regulation,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program administers the right-of-way franchises and pipelines and is responsible for issuing franchises and permits, as well as establishing, enforcing, and collecting rates for public utilities. This program also conducts various studies to determine appropriate rates and services._x000D_
_x000D_
This function has been transferred to the Board of Public Works."
9416,Active Transportation,"Priority Outcome: Create a more livable and sustainable city  _x000D_
This program focuses on bicycle and pedestrian projects and programs. The Bicycle Initiative Implementation subprogram includes the planning, public outreach, coordination, design, installation, and maintenance of new bike lanes, bikeways, bike paths, bicycle-friendly streets, and sharrows (shared lane bicycle markings). The Pedestrian Plan Implementation subprogram consists of the planning, public outreach, coordination, design, installation, and maintenance of projects that facilitate pedestrian movement and safety._x000D_
"
9417,Crossing Guard Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides crossing guard services to elementary schools throughout the LAUSD to ensure the safe crossing of children to and from their local schools. The program consists of crossing guards, supervisors, and support staff._x000D_
"
9449,Technology Support,"This program provides direct support to all the Department's operational programs. This program provides services, and maintains technology that includes automated information systems, desktop computers, servers, and data communications."
9450,General Administration and Support,"This program provides Department-wide administrative services, including executive management, budget development, payroll, and accounts payable."
